"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2015"	"2015"	85	22583	376.4	300.6	465.4	40.8
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2016"	"2016"	78	22643	344.5	272.3	429.9	39.0
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2017"	"2017"	86	22668	379.4	303.5	468.5	40.9
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2018"	"2018"	104	22400	464.3	375.1	553.5	45.5
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2010"	"2010"	167	57322	291.3	247.1	335.5	22.5
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2011"	"2011"	207	57677	358.9	310.0	407.8	24.9
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2012"	"2012"	159	57826	275.0	232.2	317.7	21.8
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2013"	"2013"	156	57872	269.6	227.3	311.9	21.6
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2014"	"2014"	180	57719	311.9	266.3	357.4	23.2
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2015"	"2015"	201	57673	348.5	300.3	396.7	24.6
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2016"	"2016"	199	57704	344.9	296.9	392.8	24.4
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2017"	"2017"	202	58013	348.2	300.2	396.2	24.5
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2018"	"2018"	212	57840	366.5	317.2	415.9	25.2
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2010"	"2010"	49	10914	449.0	332.1	593.6	64.1
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2011"	"2011"	39	10542	369.9	263.1	505.7	59.2
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2012"	"2012"	39	10474	372.4	264.8	509.0	59.6
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2013"	"2013"	41	10639	385.4	276.6	522.8	60.2
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2014"	"2014"	29	10764	269.4	180.4	386.9	50.0
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2015"	"2015"	39	10696	364.6	259.3	498.4	58.4
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2016"	"2016"	36	10362	347.4	243.3	481.0	57.9
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2017"	"2017"	45	10309	436.5	318.4	584.1	65.1
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2018"	"2018"	46	10138	453.7	332.2	605.2	66.9
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2010"	"2010"	111	20947	529.9	431.3	628.5	50.3
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2011"	"2011"	108	20650	523.0	424.4	621.6	50.3
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2012"	"2012"	100	20307	492.4	395.9	589.0	49.2
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2013"	"2013"	81	20265	399.7	317.4	496.8	44.4
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2014"	"2014"	110	20296	542.0	440.7	643.3	51.7
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2015"	"2015"	101	20154	501.1	403.4	598.9	49.9
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2016"	"2016"	107	19998	535.1	433.7	636.4	51.7
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2017"	"2017"	73	19825	368.2	288.6	463.0	43.1
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2018"	"2018"	104	19680	528.5	426.9	630.0	51.8
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2010"	"2010"	462	118572	389.6	354.1	425.2	18.1
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2011"	"2011"	429	117797	364.2	329.7	398.6	17.6
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2012"	"2012"	441	117296	376.0	340.9	411.1	17.9
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2013"	"2013"	476	116736	407.8	371.1	444.4	18.7
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2014"	"2014"	470	115916	405.5	368.8	442.1	18.7
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2015"	"2015"	528	115620	456.7	417.7	495.6	19.9
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2016"	"2016"	518	114611	452.0	413.0	490.9	19.9
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2017"	"2017"	543	114728	473.3	433.5	513.1	20.3
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	596	114277	521.5	479.7	563.4	21.4
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2010"	"2010"	165	34215	482.2	408.7	555.8	37.5
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2011"	"2011"	161	33939	474.4	401.1	547.7	37.4
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2012"	"2012"	159	34064	466.8	394.2	539.3	37.0
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2013"	"2013"	147	34162	430.3	360.7	499.9	35.5
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2014"	"2014"	129	34076	378.6	313.2	443.9	33.3
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2015"	"2015"	117	34123	342.9	280.7	405.0	31.7
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2016"	"2016"	135	33843	398.9	331.6	466.2	34.3
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2017"	"2017"	125	33713	370.8	305.8	435.8	33.2
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2018"	"2018"	114	33615	339.1	276.9	401.4	31.8
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2010"	"2010"	101	25989	388.6	312.8	464.4	38.7
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2011"	"2011"	95	26057	364.6	295.0	445.7	37.4
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2012"	"2012"	96	26021	368.9	298.8	450.5	37.7
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2013"	"2013"	82	26203	312.9	248.9	388.4	34.6
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2014"	"2014"	103	26037	395.6	319.2	472.0	39.0
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2015"	"2015"	132	25859	510.5	423.4	597.5	44.4
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2016"	"2016"	107	25725	415.9	337.1	494.7	40.2
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2017"	"2017"	100	25857	386.7	310.9	462.5	38.7
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2018"	"2018"	81	26032	311.2	247.1	386.7	34.6
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2010"	"2010"	139	43643	318.5	265.5	371.4	27.0
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2011"	"2011"	158	43895	359.9	303.8	416.1	28.6
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2012"	"2012"	161	43819	367.4	310.7	424.2	29.0
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2013"	"2013"	186	43951	423.2	362.4	484.0	31.0
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2014"	"2014"	152	43931	346.0	291.0	401.0	28.1
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2015"	"2015"	173	43943	393.7	335.0	452.4	29.9
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2016"	"2016"	185	43941	421.0	360.3	481.7	31.0
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2017"	"2017"	184	44067	417.5	357.2	477.9	30.8
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2018"	"2018"	159	44153	360.1	304.1	416.1	28.6
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2010"	"2010"	65	13859	469.0	362.0	597.8	58.2
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2011"	"2011"	54	13609	396.8	298.1	517.7	54.0
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2012"	"2012"	73	13633	535.5	419.7	673.3	62.7
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2013"	"2013"	74	13426	551.2	432.8	691.9	64.1
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2014"	"2014"	64	13323	480.4	369.9	613.4	60.0
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2015"	"2015"	68	13170	516.3	400.9	654.6	62.6
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2016"	"2016"	79	12993	608.0	481.4	757.8	68.4
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2017"	"2017"	68	12945	525.3	407.9	665.9	63.7
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2018"	"2018"	79	12841	615.2	487.1	766.7	69.2
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2010"	"2010"	109	25833	421.9	342.7	501.2	40.4
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2011"	"2011"	98	25695	381.4	309.6	464.8	38.5
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2012"	"2012"	87	25161	345.8	277.0	426.5	37.1
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2013"	"2013"	100	25207	396.7	319.0	474.5	39.7
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2014"	"2014"	94	24945	376.8	304.5	461.1	38.9
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2015"	"2015"	95	24675	385.0	311.5	470.6	39.5
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2016"	"2016"	110	24392	451.0	366.7	535.2	43.0
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2017"	"2017"	107	24083	444.3	360.1	528.5	43.0
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2018"	"2018"	97	23920	405.5	328.8	494.7	41.2
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2010"	"2010"	64	13932	459.4	353.8	586.6	57.4
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2011"	"2011"	92	13862	663.7	535.0	813.9	69.2
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2012"	"2012"	65	13435	483.8	373.4	616.7	60.0
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2013"	"2013"	60	13486	444.9	339.5	572.7	57.4
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2014"	"2014"	70	13552	516.5	402.7	652.6	61.7
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2015"	"2015"	75	13555	553.3	435.2	693.6	63.9
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2016"	"2016"	66	13492	489.2	378.3	622.4	60.2
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2017"	"2017"	59	13367	441.4	336.0	569.4	57.5
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2018"	"2018"	60	13275	452.0	344.9	581.8	58.4
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2010"	"2010"	73	14972	487.6	382.2	613.1	57.1
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2011"	"2011"	48	14835	323.6	238.6	429.0	46.7
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2012"	"2012"	40	14832	269.7	192.7	367.2	42.6
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2013"	"2013"	51	14994	340.1	253.3	447.2	47.6
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2014"	"2014"	64	15080	424.4	326.8	542.0	53.1
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2015"	"2015"	76	15018	506.1	398.7	633.4	58.0
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2016"	"2016"	69	14924	462.3	359.7	585.1	55.7
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2017"	"2017"	71	14900	476.5	372.2	601.1	56.6
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2018"	"2018"	72	14987	480.4	375.9	605.0	56.6
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2010"	"2010"	182	49948	364.4	311.4	417.3	27.0
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2011"	"2011"	158	50526	312.7	263.9	361.5	24.9
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2012"	"2012"	162	51252	316.1	267.4	364.8	24.8
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2013"	"2013"	145	50938	284.7	238.3	331.0	23.6
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2014"	"2014"	163	50909	320.2	271.0	369.3	25.1
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2015"	"2015"	175	51211	341.7	291.1	392.4	25.8
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2016"	"2016"	171	51226	333.8	283.8	383.8	25.5
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2017"	"2017"	192	51874	370.1	317.8	422.5	26.7
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2018"	"2018"	211	51909	406.5	351.6	461.3	28.0
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2010"	"2010"	241	54428	442.8	386.9	498.7	28.5
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2011"	"2011"	227	54512	416.4	362.2	470.6	27.6
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2012"	"2012"	228	54446	418.8	364.4	473.1	27.7
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2013"	"2013"	246	54520	451.2	394.8	507.6	28.8
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2014"	"2014"	271	54543	496.9	437.7	556.0	30.2
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2015"	"2015"	262	54354	482.0	423.7	540.4	29.8
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2016"	"2016"	214	54216	394.7	341.8	447.6	27.0
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2017"	"2017"	213	54500	390.8	338.3	443.3	26.8
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2018"	"2018"	254	54762	463.8	406.8	520.9	29.1
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2010"	"2010"	50	13228	378.0	280.5	498.3	53.5
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2011"	"2011"	50	13105	381.5	283.2	503.0	54.0
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2012"	"2012"	69	12981	531.5	413.6	672.7	64.0
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2013"	"2013"	66	12887	512.1	396.1	651.6	63.0
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2014"	"2014"	59	12670	465.7	354.5	600.7	60.6
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2015"	"2015"	60	12672	473.5	361.3	609.5	61.1
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2016"	"2016"	59	12395	476.0	362.4	614.0	62.0
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2017"	"2017"	51	12469	409.0	304.5	537.8	57.3
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2018"	"2018"	52	12277	423.6	316.3	555.4	58.7
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2010"	"2010"	44	11539	381.3	277.1	511.9	57.5
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2011"	"2011"	42	10713	392.0	282.6	529.9	60.5
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2012"	"2012"	35	10966	319.2	222.3	443.9	53.9
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2013"	"2013"	44	10898	403.7	293.4	542.0	60.9
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2014"	"2014"	30	10886	275.6	185.9	393.4	50.3
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2015"	"2015"	47	10724	438.3	322.0	582.8	63.9
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2016"	"2016"	50	10581	472.5	350.7	623.0	66.8
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2017"	"2017"	38	10754	353.4	250.1	485.0	57.3
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2018"	"2018"	57	10715	532.0	402.9	689.2	70.5
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2010"	"2010"	154	37765	407.8	343.4	472.2	32.9
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2011"	"2011"	162	38058	425.7	360.1	491.2	33.4
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2012"	"2012"	173	37955	455.8	387.9	523.7	34.7
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2013"	"2013"	171	37886	451.4	383.7	519.0	34.5
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2014"	"2014"	195	37914	514.3	442.1	586.5	36.8
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2015"	"2015"	203	37835	536.5	462.7	610.3	37.7
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2016"	"2016"	169	37458	451.2	383.1	519.2	34.7
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2017"	"2017"	181	37092	488.0	416.9	559.1	36.3
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2018"	"2018"	220	36986	594.8	516.2	673.4	40.1
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2010"	"2010"	58	13906	417.1	316.7	539.2	54.8
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2011"	"2011"	55	13911	395.4	297.8	514.6	53.3
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2012"	"2012"	55	14083	390.5	294.2	508.3	52.7
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2013"	"2013"	45	13986	321.8	234.7	430.5	48.0
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2014"	"2014"	63	13977	450.7	346.4	576.7	56.8
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2015"	"2015"	72	13963	515.6	403.5	649.4	60.8
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2016"	"2016"	54	13913	388.1	291.6	506.4	52.8
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2017"	"2017"	58	13871	418.1	317.5	540.5	54.9
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2018"	"2018"	72	13824	520.8	407.5	655.9	61.4
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2010"	"2010"	347	80406	431.6	386.2	477.0	23.2
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2011"	"2011"	326	80536	404.8	360.8	448.7	22.4
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2012"	"2012"	317	80440	394.1	350.7	437.5	22.1
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2013"	"2013"	302	80811	373.7	331.6	415.9	21.5
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2014"	"2014"	293	81289	360.4	319.2	401.7	21.1
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2015"	"2015"	295	82005	359.7	318.7	400.8	20.9
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2016"	"2016"	325	82471	394.1	351.2	436.9	21.9
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2017"	"2017"	355	82755	429.0	384.4	473.6	22.8
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2018"	"2018"	369	83442	442.2	397.1	487.3	23.0
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2010"	"2010"	159	50251	316.4	267.2	365.6	25.1
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2011"	"2011"	156	50044	311.7	262.8	360.6	25.0
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2012"	"2012"	144	50444	285.5	238.8	332.1	23.8
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2013"	"2013"	167	49884	334.8	284.0	385.6	25.9
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2014"	"2014"	151	49484	305.1	256.5	353.8	24.8
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2015"	"2015"	169	49565	341.0	289.6	392.4	26.2
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2016"	"2016"	177	49226	359.6	306.6	412.5	27.0
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2017"	"2017"	176	49226	357.5	304.7	410.4	27.0
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2018"	"2018"	152	48956	310.5	261.1	359.8	25.2
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2010"	"2010"	191	43820	435.9	374.1	497.7	31.5
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2011"	"2011"	206	43332	475.4	410.5	540.3	33.1
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2012"	"2012"	190	42864	443.3	380.2	506.3	32.2
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2013"	"2013"	175	41996	416.7	355.0	478.4	31.5
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2014"	"2014"	185	41711	443.5	379.6	507.4	32.6
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2015"	"2015"	190	41131	461.9	396.3	527.6	33.5
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2016"	"2016"	200	40008	499.9	430.6	569.2	35.3
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2017"	"2017"	178	39215	453.9	387.2	520.6	34.0
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2018"	"2018"	203	38310	529.9	457.0	602.8	37.2
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2010"	"2010"	286	71109	402.2	355.6	448.8	23.8
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2011"	"2011"	245	71375	343.3	300.3	386.2	21.9
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2012"	"2012"	238	71080	334.8	292.3	377.4	21.7
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2013"	"2013"	264	71013	371.8	326.9	416.6	22.9
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2014"	"2014"	276	71065	388.4	342.6	434.2	23.4
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2015"	"2015"	267	71130	375.4	330.3	420.4	23.0
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2016"	"2016"	260	70900	366.7	322.1	411.3	22.7
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2017"	"2017"	252	71617	351.9	308.4	395.3	22.2
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2018"	"2018"	269	71385	376.8	331.8	421.9	23.0
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2010"	"2010"	257	79303	324.1	284.5	363.7	20.2
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2011"	"2011"	209	80162	260.7	225.4	296.1	18.0
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2012"	"2012"	213	80629	264.2	228.7	299.7	18.1
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2013"	"2013"	234	80902	289.2	252.2	326.3	18.9
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2014"	"2014"	262	80977	323.5	284.4	362.7	20.0
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2015"	"2015"	249	81468	305.6	267.7	343.6	19.4
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2016"	"2016"	228	81799	278.7	242.6	314.9	18.5
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"2017"	"2017"	303	81677	371.0	329.2	412.7	21.3
